,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy",Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy"
84,uk,03/26/1973,51.9,32.1,45.9,0.02,11.4,7.0,32.6,70.99,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
85,uk,03/27/1973,53.7,39.1,48.0,0.0,12.5,10.4,34.7,61.69,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,uk,03/28/1973,53.7,44.6,48.7,0.0,17.2,7.6,76.0,65.16,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,uk,03/29/1973,59.0,42.8,49.6,0.0,11.4,10.8,17.0,55.39,Clear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,uk,03/30/1973,51.9,41.0,46.1,0.0,19.4,11.9,46.4,72.68,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,uk,03/31/1973,53.6,37.4,46.2,0.0,17.2,13.4,50.7,57.97,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,uk,04/01/1973,53.7,46.5,49.0,0.0,20.5,13.8,95.8,70.72,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,uk,04/02/1973,51.9,39.3,45.4,0.08,32.2,10.3,82.0,77.56,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
92,uk,04/03/1973,48.3,37.5,43.3,0.0,18.3,15.6,37.3,54.03,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,uk,04/04/1973,51.9,41.1,46.7,0.0,25.3,10.1,100.0,75.51,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,uk,04/05/1973,59.1,48.3,53.3,0.0,23.0,12.8,80.9,71.15,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,uk,04/06/1973,53.6,42.8,47.9,0.0,27.4,14.8,51.5,58.13,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,uk,04/07/1973,53.7,39.3,46.5,0.0,18.3,19.6,47.8,55.85,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,uk,04/08/1973,46.5,35.7,40.7,0.0,18.3,15.3,72.4,72.12,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,uk,04/09/1973,46.5,33.9,38.8,0.04,22.9,10.2,54.3,69.52,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
99,uk,04/10/1973,53.7,33.9,44.4,0.01,17.2,11.4,32.7,57.13,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100,uk,04/11/1973,46.5,42.9,45.4,0.0,15.0,7.8,88.0,69.15,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,uk,04/12/1973,48.3,41.1,44.9,0.0,17.2,8.8,87.2,62.14,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,uk,04/13/1973,53.6,42.9,47.7,0.0,10.3,9.9,82.5,59.68,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,uk,04/14/1973,59.1,42.9,51.2,0.0,13.6,6.1,94.8,66.61,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,uk,04/15/1973,60.9,40.1,53.1,0.0,15.0,4.8,83.1,68.72,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,uk,04/16/1973,59.1,46.5,53.7,0.0,9.1,3.6,90.1,75.45,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,uk,04/17/1973,60.9,46.4,54.3,0.0,11.4,4.3,81.0,69.09,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,uk,04/18/1973,55.5,48.3,52.1,0.0,16.1,4.5,86.0,75.03,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,uk,04/19/1973,50.1,41.1,45.4,0.02,23.0,18.1,63.8,69.63,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
109,uk,04/20/1973,48.3,39.3,44.5,0.0,19.4,15.2,65.5,61.61,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,uk,04/21/1973,48.3,37.5,44.3,0.04,13.6,10.5,91.6,74.36,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
111,uk,04/22/1973,48.3,37.5,43.5,0.24,23.0,6.3,95.8,84.2,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
112,uk,04/23/1973,51.9,39.3,44.1,0.0,15.0,5.6,87.2,84.05,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,uk,04/24/1973,59.1,39.3,49.5,0.2,20.6,4.5,61.2,75.81,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
114,uk,04/25/1973,59.1,42.9,50.7,0.0,19.4,7.2,37.3,63.85,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,uk,04/26/1973,64.5,34.7,53.3,0.0,17.1,7.9,25.5,54.46,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,uk,04/27/1973,64.4,48.1,55.9,0.0,13.6,7.3,32.4,54.7,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,uk,04/28/1973,59.1,50.0,52.9,0.0,9.1,3.3,96.1,74.12,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,uk,04/29/1973,55.5,44.7,49.6,0.0,13.6,6.1,70.3,73.66,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,uk,04/30/1973,59.1,44.7,51.2,0.0,34.2,7.7,81.6,85.73,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,uk,05/01/1973,55.5,42.9,49.9,0.0,23.0,14.5,81.2,62.42,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,uk,05/02/1973,55.5,44.6,50.2,0.0,23.0,9.6,49.5,61.85,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,uk,05/03/1973,55.5,48.3,50.3,0.0,16.1,2.4,94.1,89.34,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,uk,05/04/1973,59.9,50.1,55.3,0.01,25.2,14.7,50.2,72.96,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
124,uk,05/05/1973,55.5,48.3,51.6,3.54,19.4,11.3,79.2,80.48,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
125,uk,05/06/1973,53.7,48.3,50.7,0.08,20.6,12.2,72.5,86.41,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
126,uk,05/07/1973,53.7,44.6,49.9,0.0,14.9,13.2,64.4,75.76,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,uk,05/08/1973,55.5,46.5,51.9,0.02,16.6,11.6,94.2,71.42,"Rain, Overcast",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
128,uk,05/09/1973,59.1,51.9,55.0,0.0,19.4,9.5,95.0,76.33,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,uk,05/10/1973,59.1,50.1,53.6,0.0,28.5,17.5,62.1,62.92,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,uk,05/11/1973,60.9,44.7,52.7,0.0,16.1,18.2,55.1,59.24,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,uk,05/12/1973,62.7,40.1,53.6,0.02,15.0,14.3,53.9,66.44,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
132,uk,05/13/1973,59.1,50.1,53.8,0.0,20.5,17.3,92.1,67.21,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,uk,05/14/1973,59.1,46.5,51.7,0.0,10.3,8.3,79.3,72.79,Overcast,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,uk,05/15/1973,60.9,39.3,52.4,0.0,11.4,7.3,26.6,68.04,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,uk,05/16/1973,58.1,44.7,51.7,0.0,24.1,14.0,30.5,67.76,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,uk,05/17/1973,59.1,48.3,54.9,0.0,27.4,7.5,70.6,66.71,Partially cloudy,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,uk,05/18/1973,69.9,53.6,60.4,0.01,17.2,3.8,53.3,72.97,"Rain, Partially cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
