Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
australia,05/26/1970,57.8,40.7,46.9,,,0,,2.2,,,53.8,80.83,Partially cloudy
australia,05/27/1970,57.8,35.9,45.4,,,0,,4.7,,,35,85.5,Partially cloudy
australia,05/28/1970,55.4,32.6,43.9,,,0,,9.2,,,68.8,87.13,Partially cloudy
australia,05/29/1970,53.8,45.8,49.2,42.7,,0,,18.3,,,95,82.9,Overcast
australia,05/30/1970,51.5,38,43.9,,,0,,3.4,,,73.8,92.41,Partially cloudy
australia,05/31/1970,53.3,41.1,47.4,,,0,,12.8,,,77.5,85.06,Overcast
australia,06/01/1970,59.2,42.2,49.7,,,0,,18.3,,,62.6,80.95,Partially cloudy
australia,06/02/1970,57.8,35.9,44.2,38.4,,0,,17.2,,,41.3,85.46,Partially cloudy
australia,06/03/1970,54.2,40.7,46.3,36.9,,0,,11.4,,,60,83.49,Partially cloudy
australia,06/04/1970,53.8,40.4,45.2,44.1,,0,,11.4,,,82.5,82.38,Overcast
australia,06/05/1970,53.6,34.4,44.6,39.4,,0,,4.7,,,55,75.12,Partially cloudy
australia,06/06/1970,51.9,32.1,41.4,36.7,,0,,5.8,,,13.8,75.83,Clear
australia,06/07/1970,48.5,30.5,39,,,0,,0,,,46.3,87.64,Partially cloudy
australia,06/08/1970,55.1,34.1,41.7,,,0,,4.7,,,37.5,82.44,Partially cloudy
australia,06/09/1970,54.2,35,43.5,43.1,,0,,9.2,,,55.1,82.25,Partially cloudy
australia,06/10/1970,47,39.3,43.3,,,0,,0.1,,,82.5,96.77,Overcast
australia,06/11/1970,48.5,40.7,43.8,34.9,,0,,17.2,,,70,87.51,Partially cloudy
australia,06/12/1970,50.1,44,45.7,36.6,,0,,18.3,,,73.7,86.72,Partially cloudy
australia,06/13/1970,50.1,44.9,46.4,37.7,,0,,18.3,,,76.3,79.75,Overcast
australia,06/14/1970,52.1,41.6,46.5,37.1,,0,,13.9,,,48.7,78.39,Partially cloudy
australia,06/15/1970,52.4,29.9,41.1,34.8,,0,,20.8,,,58.8,88.33,Partially cloudy
australia,06/16/1970,48.8,40.4,43.7,31.1,,0,,19.5,,,81.2,82.03,Overcast
australia,06/17/1970,56,39,45.8,40,,0,,6.9,,,47.5,74.51,Partially cloudy
australia,06/18/1970,54.2,27.6,38.9,,,0,,0,,,6.3,80.79,Clear
australia,06/19/1970,53,29,40.5,,,0,,11.4,,,78.8,81.8,Overcast
australia,06/20/1970,54.7,31.7,40.1,42.4,,0,,11.4,,,57.6,87.83,Partially cloudy
australia,06/21/1970,55.1,38,44.1,44.9,,0,,5.8,,,92.5,90.02,Overcast
australia,06/22/1970,55.1,43.4,47.9,38.2,,0,,11.4,,,52.5,80.58,Partially cloudy
australia,06/23/1970,56,29,39.1,,,0,,0.1,,,7.5,81.07,Clear
australia,06/24/1970,51.2,29,36.9,,,0,,0.1,,,50,93.98,Partially cloudy
australia,06/25/1970,50.3,29,37.4,46,,0,,3.4,,,61.3,89.39,Partially cloudy
australia,06/26/1970,56.5,27.8,42,,,0,,17.3,,,43.7,82.69,Partially cloudy
australia,06/27/1970,51.2,44.9,48,39.7,,0,,19.4,,,64.9,72.64,Partially cloudy
australia,06/28/1970,51,44,47,39.2,,0,,18.3,,,55,72.44,Partially cloudy
australia,06/29/1970,53.9,43.4,47.4,38,,0,,23,,,25,78.64,Clear
australia,06/30/1970,54.7,42.2,47.7,36.2,,0,,23,,,70,80.11,Partially cloudy
australia,07/01/1970,53,44.3,47.8,37.8,,0,,25.3,,,34.9,77.53,Partially cloudy
